,stat_type,player_id,player_name,team_id,team_name,outs,earned_runs,home_runs_allowed,walks,hit_batters,strikeouts,hits_allowed,wins,losses,saves,blown_saves,unearned_runs,appearances,starts,positiontype,IP,ERA,WHIP,K9,BB9,HR9,FIP,league_name,league_id,team_win_diff,singles,doubles,triples,home_runs,at_bats,walked,hit_by_pitch,plate_appearances,stolen_bases,caught_stealing,struck_out,runs,runs_batted_in,sac_flies,groundouts,flyouts,popouts,lineouts,hitting,TB,BA,OBP,SLG,OPS,BABIP,SB%,K%,BB%,ISO,league_type
28,pitching,68411b418ba62cf2ce8d9175,Gold Encarnacion,6809cdb51d2800e67a866891,,379.0,86.0,25.0,63.0,20.0,93.0,131.0,4.0,14.0,0.0,0.0,1.0,22.0,22.0,,126.33333333333333,6.12664907651715,1.5356200527704487,6.62532981530343,4.488126649076517,1.7810026385224276,5.825773202514593,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
29,pitching,68413631ed58166c1895aeda,Bianca Owusu,680b055fcb7a15e5259d2c5f,,229.0,33.0,6.0,47.0,10.0,72.0,60.0,5.0,5.0,2.0,1.0,1.0,35.0,0.0,,76.33333333333333,3.8908296943231444,1.4017467248908297,8.489082969432316,5.541484716157205,0.7074235807860263,4.13007894850208,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
30,pitching,68441d50144e874e6deb8bb9,Elena Pedersen,6807c5cd4251378d1ace10ba,,442.0,59.0,15.0,55.0,19.0,159.0,127.0,9.0,9.0,0.0,0.0,0.0,21.0,21.0,,147.33333333333334,3.604072398190045,1.2352941176470587,9.712669683257918,3.35972850678733,0.916289592760181,3.4264787983311615,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
31,pitching,6805db0dac48194de3cd416e,Ayaka Dahl,6805db0dac48194de3cd4160,,189.0,54.0,16.0,30.0,8.0,29.0,97.0,3.0,4.0,0.0,0.0,0.0,11.0,11.0,,63.0,7.714285714285714,2.015873015873016,4.142857142857143,4.285714285714286,2.2857142857142856,6.945009287449887,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
32,pitching,68414f4488056169e0078bd7,Cecilia Asante,680b055fcb7a15e5259d2c5f,,42.0,2.0,2.0,9.0,2.0,9.0,6.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,,14.0,1.2857142857142858,1.0714285714285714,5.785714285714286,5.785714285714286,1.2857142857142858,5.683104525545124,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
33,pitching,6840fc8e08b7fc5e21e8a838,Tickle Ashford,68086624089c4cd53528e758,,529.0,68.0,17.0,57.0,17.0,152.0,160.0,12.0,10.0,0.0,1.0,1.0,24.0,24.0,,176.33333333333334,3.4706994328922494,1.2306238185255198,7.758034026465028,2.9092627599243857,0.8676748582230623,3.5428128701305956,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
34,pitching,6887d44718e81770515b6961,Waylon Heath,680664c9709b8b12f78c2b83,,51.0,8.0,3.0,4.0,1.0,7.0,16.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,,17.0,4.235294117647059,1.1764705882352942,3.7058823529411766,2.1176470588235294,1.588235294117647,5.107474273444284,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
35,pitching,6805db0dac48194de3cd4172,Débora Laurent,6805db0dac48194de3cd4160,,22.0,8.0,2.0,2.0,0.0,5.0,8.0,0.0,2.0,6.0,2.0,0.0,8.0,0.0,,7.333333333333333,9.818181818181818,1.3636363636363638,6.136363636363637,2.4545454545454546,2.4545454545454546,5.754533096973695,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
36,pitching,6845b71c54a7fbd413387a93,Fenchurch Pike,68077beaee9f269dec7251e9,,640.0,47.0,24.0,46.0,10.0,319.0,129.0,18.0,4.0,0.0,0.0,2.0,26.0,26.0,,213.33333333333334,1.9828124999999999,0.8203125,13.4578125,1.9406249999999998,1.0125,2.0139080969736955,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
37,pitching,6887d45b18e81770515b86b8,Faith Sabi,6807c5cd4251378d1ace10ba,,76.0,16.0,6.0,12.0,2.0,14.0,33.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,,25.333333333333332,5.684210526315789,1.7763157894736843,4.973684210526316,4.2631578947368425,2.1315789473684212,6.386112044342116,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
38,pitching,68411aec295b2368c0ac77f2,Jumbo Castle,6809cdb51d2800e67a866891,,225.0,68.0,18.0,52.0,10.0,77.0,90.0,1.0,9.0,0.0,0.0,1.0,15.0,15.0,,75.0,8.16,1.8933333333333333,9.24,6.24,2.16,6.301199763640362,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
39,pitching,6887d46018e81770515b8d62,Mollie Chan,68080deac78ad8242ad625a6,,306.0,95.0,24.0,49.0,13.0,56.0,136.0,3.0,11.0,0.0,0.0,3.0,18.0,17.0,,102.0,8.382352941176471,1.8137254901960784,4.9411764705882355,4.323529411764706,2.1176470588235294,6.538846822463892,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
40,pitching,6844208788056169e0078fa8,Colton Smoltz,6807c5cd4251378d1ace10ba,,90.0,16.0,6.0,20.0,3.0,33.0,31.0,1.0,3.0,21.0,6.0,5.0,27.0,0.0,,30.0,4.8,1.7,9.9,6.0,1.8,5.454533096973696,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
41,pitching,68419c70554d8039701f1cf2,Xavier Vieira,68065ab9709b8b12f78c2a9e,,135.0,24.0,5.0,21.0,5.0,46.0,46.0,3.0,2.0,0.0,1.0,2.0,20.0,0.0,,45.0,4.8,1.488888888888889,9.2,4.2,1.0,3.887866430307029,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
42,pitching,68419dc6144e874e6deb88ac,Glove Donaldson,68419b4308b7fc5e21e8afa3,,534.0,73.0,18.0,38.0,26.0,138.0,156.0,15.0,6.0,0.0,0.0,1.0,24.0,24.0,,178.0,3.691011235955056,1.0898876404494382,6.977528089887641,1.9213483146067416,0.9101123595505618,3.597229726187179,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
43,pitching,68410cb088056169e0078998,Fannie Oconnor,680848f06f38e1fcb9f6f1bb,,536.0,87.0,26.0,72.0,31.0,200.0,145.0,10.0,11.0,0.0,0.0,2.0,25.0,25.0,,178.66666666666666,4.382462686567164,1.2145522388059702,10.074626865671643,3.626865671641791,1.3097014925373136,4.1369957835408595,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
