,,player_id,player_name,team_id,singles,doubles,triples,home_runs,at_bats,walked,hit_by_pitch,plate_appearances,stolen_bases,caught_stealing,struck_out,runs,runs_batted_in,sac_flies,groundouts,flyouts,popouts,lineouts,positiontype,hitting,TB,BA,OBP,SLG,OPS,BABIP,SB%,K%,BB%,ISO
league,49,68af35507d5388c228803f8b,Nice Kent,68af35507d5388c228803f89,2,1,0,0,5,0,0,5,1,0,1,1,2,0,1,0,0,0,,3,4,0.6,0.6,0.8,1.4,0.75,1.0,0.2,0.0,0.20000000000000007
league,50,6887d45718e81770515b80b6,Bloop Mercier,68077beaee9f269dec7251e9,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
league,51,6903c18640bb7dc07c378136,S. Costello,690392510eddc2cb91160c08,36,12,1,9,281,37,10,333,23,8,82,24,36,4,68,39,12,16,,58,99,0.20640569395017794,0.32,0.35231316725978645,0.6685782275007504,0.25257731958762886,0.7419354838709677,0.24624624624624625,0.1111111111111111,0.14590747330960852
league,52,6840ff3708b7fc5e21e8a99a,Oliver Knežević,6806c5dff9b67839f528be60,33,15,2,16,304,54,8,370,19,7,59,53,57,3,66,43,21,35,,66,133,0.21710526315789475,0.35,0.4375,0.7843834688346883,0.21551724137931033,0.7307692307692307,0.15945945945945947,0.14594594594594595,0.22039473684210525
league,53,6887d47318e81770515ba7fd,Alice Wanamaker,6809cdb51d2800e67a866891,0,0,0,0,4,0,0,4,0,0,1,0,0,0,1,1,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,,0.25,0.0,0.0
league,54,68417dc0ec9dc637cfd0cf42,Fatima Morris,68068863ce5a952465d7b88f,53,14,0,12,328,35,13,381,18,3,114,46,46,2,53,48,16,15,,79,129,0.24085365853658536,0.34,0.3932926829268293,0.7292715189056653,0.3284313725490196,0.8571428571428571,0.2992125984251969,0.09186351706036745,0.15243902439024393
league,55,684578c1896f631e9d68984d,January Grass,681e92c41017959663077c0c,54,12,2,16,384,33,9,435,15,5,107,53,54,5,86,41,28,21,,84,148,0.21875,0.29,0.3854166666666667,0.6777600541376644,0.2556390977443609,0.75,0.24597701149425288,0.07586206896551724,0.16666666666666669
league,56,68f92152dc997c460bc85a9e,Reggie Fleming,68f9208985bfb4d8eac4e489,39,13,1,9,272,43,5,325,8,5,81,36,28,4,54,38,18,7,,62,104,0.22794117647058823,0.34,0.38235294117647056,0.7218591140159767,0.2849462365591398,0.6153846153846154,0.24923076923076923,0.13230769230769232,0.15441176470588233
league,57,6841e93fec9dc637cfd0d0c9,Crystal Schultz,680935632198112ec9cdb904,49,9,2,8,333,51,9,398,14,7,105,54,38,1,77,44,21,13,,68,105,0.2042042042042042,0.32,0.3153153153153153,0.6401884117620158,0.27149321266968324,0.6666666666666666,0.2638190954773869,0.12814070351758794,0.1111111111111111
league,58,68f1a3591f851289ff7cfffb,Ayla Sandwich,68f19da81f851289ff7cffe4,62,18,1,9,403,48,26,487,21,9,128,67,40,4,92,46,18,20,,90,137,0.22332506203473945,0.34,0.3399503722084367,0.6809067131647777,0.3,0.7,0.26283367556468173,0.09856262833675565,0.11662531017369726
