player_id,player,boon,stat,plus,minus,net_impact,intercept,pct_impact,direction,weight,signed_net,signed_pct,signed_pct_filled
68884943570d8b89bc15a116,Travis Mae,Geometry Expert,whip,-0.051038,0.080377,0.029338,1.8091445204860357,1.6217,-1.0,1.0,-0.029338,-1.6217,-1.6217
68884943570d8b89bc15a116,Travis Mae,Scooter,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Scooter,era,-0.401772,0.240676,-0.161096,6.8133473730075576,-2.3644,-1.0,1.0,0.161096,2.3644,2.3644
68884943570d8b89bc15a116,Travis Mae,Scooter,fip,-0.36204,0.216942,-0.145098,7.066868894970457,-2.0532,-1.0,1.0,0.145098,2.0532,2.0532
68884943570d8b89bc15a116,Travis Mae,Scooter,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Scooter,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Scooter,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Scooter,whip,-0.080377,0.059973,-0.020404,1.8091445204860357,-1.1278,-1.0,1.0,0.020404,1.1278,1.1278
68884943570d8b89bc15a116,Travis Mae,The Light,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,The Light,era,-0.27478,0.387985,0.113206,6.8133473730075576,1.6615,-1.0,1.0,-0.113206,-1.6615,-1.6615
68884943570d8b89bc15a116,Travis Mae,The Light,fip,-0.270228,0.379477,0.10925,7.066868894970457,1.5459,-1.0,1.0,-0.10925,-1.5459,-1.5459
68884943570d8b89bc15a116,Travis Mae,The Light,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,The Light,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,The Light,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,The Light,whip,-0.055104,0.076761,0.021657,1.8091445204860357,1.1971,-1.0,1.0,-0.021657,-1.1971,-1.1971
68884943570d8b89bc15a116,Travis Mae,Tenacious Badger,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Tenacious Badger,era,-0.204682,0.092854,-0.111828,6.8133473730075576,-1.6413,-1.0,1.0,0.111828,1.6413,1.6413
68884943570d8b89bc15a116,Travis Mae,Tenacious Badger,fip,-0.171756,0.041235,-0.130521,7.066868894970457,-1.8469,-1.0,1.0,0.130521,1.8469,1.8469
68884943570d8b89bc15a116,Travis Mae,Tenacious Badger,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Tenacious Badger,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Tenacious Badger,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
